date,home_team_name,away_team_name,home_score,away_score
2011-07-03,Australia,Equatorial Guinea,3,2
2011-07-02,United States,Colombia,3,0
2011-07-02,North Korea,Sweden,0,1
2011-07-01,New Zealand,England,1,2
2011-07-01,Japan,Mexico,4,0
2011-06-30,Germany,Nigeria,1,0
2011-06-30,Canada,France,0,4
2011-06-29,Brazil,Australia,1,0
2011-06-29,Norway,Equatorial Guinea,1,0
2011-06-28,United States,North Korea,2,0
2011-06-28,Colombia,Sweden,0,1
2011-06-27,Mexico,England,1,1
2011-06-27,Japan,New Zealand,2,1
2011-06-26,Germany,Canada,2,1
2011-06-26,Nigeria,France,0,1
2010-07-11,Netherlands,Spain,0,1
2010-07-10,Uruguay,Germany,2,3
2010-07-07,Germany,Spain,0,1
2010-07-06,Uruguay,Netherlands,2,3
2010-07-03,Paraguay,Spain,0,1
2010-07-03,Argentina,Germany,0,4
2010-07-02,Uruguay,Ghana,1,1
2010-07-02,Netherlands,Brazil,2,1
2010-06-29,Spain,Portugal,1,0
2010-06-29,Paraguay,Japan,0,0
2010-06-28,Netherlands,Slovakia,2,1
2010-06-28,Brazil,Chile,3,0
2010-06-27,Germany,England,4,1
2010-06-27,Argentina,Mexico,3,1
2010-06-26,United States,Ghana,1,2
2010-06-26,Uruguay,South Korea,2,1
2010-06-25,Switzerland,Honduras,0,0
2010-06-25,Chile,Spain,1,2
2010-06-25,Portugal,Brazil,0,0
2010-06-25,North Korea,Ivory Coast,0,3
2010-06-24,Paraguay,New Zealand,0,0
2010-06-24,Slovakia,Italy,3,2
2010-06-24,Cameroon,Netherlands,1,2
2010-06-24,Denmark,Japan,1,3
2010-06-23,Ghana,Germany,0,1
2010-06-23,Australia,Serbia,2,1
2010-06-23,United States,Algeria,1,0
2010-06-23,Slovenia,England,0,1
2010-06-22,Nigeria,South Korea,2,2
2010-06-22,Greece,Argentina,0,2
2010-06-22,Mexico,Uruguay,0,1
2010-06-22,France,South Africa,1,2
2010-06-21,Spain,Honduras,2,0
2010-06-21,Chile,Switzerland,1,0
2010-06-21,Portugal,North Korea,7,0
2010-06-20,Brazil,Ivory Coast,3,1
2010-06-20,Italy,New Zealand,1,1
2010-06-20,Slovakia,Paraguay,0,2
2010-06-19,Netherlands,Japan,1,0
2010-06-19,Ghana,Australia,1,1
2010-06-19,Cameroon,Denmark,1,2
2010-06-18,England,Algeria,0,0
2010-06-18,Slovenia,United States,2,2
2010-06-18,Germany,Serbia,0,1
2010-06-17,France,Mexico,0,2
2010-06-17,Greece,Nigeria,2,1
2010-06-17,Argentina,South Korea,4,1
2010-06-16,South Africa,Uruguay,0,3
2010-06-16,Spain,Switzerland,0,1
2010-06-16,Honduras,Chile,0,1
2010-06-15,Brazil,North Korea,2,1
2010-06-15,Ivory Coast,Portugal,0,0
2010-06-15,New Zealand,Slovakia,1,1
2010-06-14,Japan,Cameroon,1,0
2010-06-14,Netherlands,Denmark,2,0
2010-06-14,Italy,Paraguay,1,1
2010-06-13,Germany,Australia,4,0
2010-06-13,Algeria,Slovenia,0,1
2010-06-13,Serbia,Ghana,0,1
2010-06-12,Argentina,Nigeria,1,0
2010-06-12,South Korea,Greece,2,0
2010-06-12,England,United States,1,1
2010-06-11,South Africa,Mexico,1,1
2010-06-11,Uruguay,France,0,0
2007-09-30,Germany,Brazil,2,0
2007-09-30,Norway,United States,1,4
2007-09-27,United States,Brazil,0,4
2007-09-26,Germany,Norway,3,0
2007-09-23,Norway,China,1,0
2007-09-23,Brazil,Australia,3,2
2007-09-22,United States,England,3,0
2007-09-22,Germany,North Korea,3,0
2007-09-20,China,New Zealand,2,0
2007-09-20,Brazil,Denmark,1,0
2007-09-20,Norway,Ghana,7,2
2007-09-20,Australia,Canada,2,2
2007-09-18,North Korea,Sweden,1,2
2007-09-18,Nigeria,United States,0,1
2007-09-17,England,Argentina,6,1
2007-09-17,Germany,Japan,2,0
2007-09-15,Brazil,China,4,0
2007-09-15,Australia,Norway,1,1
2007-09-15,Denmark,New Zealand,2,0
2007-09-15,Canada,Ghana,4,0
2007-09-14,North Korea,Nigeria,2,0
2007-09-14,England,Germany,0,0
2007-09-14,Sweden,United States,0,2
2007-09-14,Argentina,Japan,0,1
2007-09-12,China,Denmark,3,2
2007-09-12,Norway,Canada,2,1
2007-09-12,New Zealand,Brazil,0,5
2007-09-12,Ghana,Australia,1,4
2007-09-11,Nigeria,Sweden,1,1
2007-09-11,Japan,England,2,2
2007-09-11,United States,North Korea,2,2
2007-09-10,Germany,Argentina,11,0
2006-07-09,Italy,France,1,1
2006-07-08,Germany,Portugal,3,1
2006-07-05,Portugal,France,0,1
2006-07-04,Germany,Italy,0,2
2006-07-01,Brazil,France,0,1
2006-07-01,England,Portugal,0,0
2006-06-30,Italy,Ukraine,3,0
2006-06-30,Germany,Argentina,1,1
2006-06-27,Spain,France,1,3
2006-06-27,Brazil,Ghana,3,0
2006-06-26,Switzerland,Ukraine,0,0
2006-06-26,Italy,Australia,1,0
2006-06-25,Portugal,Netherlands,1,0
2006-06-25,England,Ecuador,1,0
2006-06-24,Argentina,Mexico,2,1
2006-06-24,Germany,Sweden,2,0
2006-06-23,Togo,France,0,2
2006-06-23,Switzerland,South Korea,2,0
2006-06-23,Saudi Arabia,Spain,0,1
2006-06-23,Ukraine,Tunisia,1,0
2006-06-22,Ghana,United States,2,1
2006-06-22,Czech Republic,Italy,0,2
2006-06-22,Japan,Brazil,1,4
2006-06-22,Croatia,Australia,2,2
2006-06-21,Netherlands,Argentina,0,0
2006-06-21,Ivory Coast,Serbia and Montenegro,3,2
2006-06-21,Portugal,Mexico,2,1
2006-06-21,Iran,Angola,1,1
2006-06-20,Sweden,England,2,2
2006-06-20,Paraguay,Trinidad and Tobago,2,0
2006-06-20,Ecuador,Germany,0,3
2006-06-20,Costa Rica,Poland,1,2
2006-06-19,Spain,Tunisia,3,1
2006-06-19,Saudi Arabia,Ukraine,0,4
2006-06-19,Togo,Switzerland,0,2
2006-06-18,Brazil,Australia,2,0
2006-06-18,Japan,Croatia,0,0
2006-06-18,France,South Korea,1,1
2006-06-17,Italy,United States,1,1
2006-06-17,Portugal,Iran,2,0
2006-06-17,Czech Republic,Ghana,0,2
2006-06-16,Netherlands,Ivory Coast,2,1
2006-06-16,Argentina,Serbia and Montenegro,6,0
2006-06-16,Mexico,Angola,0,0
2006-06-15,Sweden,Paraguay,1,0
2006-06-15,England,Trinidad and Tobago,2,0
2006-06-15,Ecuador,Costa Rica,3,0
2006-06-14,Germany,Poland,1,0
2006-06-14,Tunisia,Saudi Arabia,2,2
2006-06-14,Spain,Ukraine,4,0
2006-06-13,France,Switzerland,0,0
2006-06-13,South Korea,Togo,2,1
2006-06-13,Brazil,Croatia,1,0
2006-06-12,Italy,Ghana,2,0
2006-06-12,United States,Czech Republic,0,3
2006-06-12,Australia,Japan,3,1
2006-06-11,Angola,Portugal,0,1
2006-06-11,Mexico,Iran,3,1
2006-06-11,Serbia and Montenegro,Netherlands,0,1
2006-06-10,Argentina,Ivory Coast,2,1
2006-06-10,Trinidad and Tobago,Sweden,0,0
2006-06-10,England,Paraguay,1,0
2006-06-09,Germany,Costa Rica,4,2
2006-06-09,Poland,Ecuador,0,2
2003-10-12,Germany,Sweden,2,1
2003-10-11,United States,Canada,3,1
2003-10-05,Sweden,Canada,2,1
2003-10-05,United States,Germany,0,3
2003-10-02,China,Canada,0,1
2003-10-02,Germany,Russia,7,1
2003-10-01,United States,Norway,1,0
2003-10-01,Brazil,Sweden,1,2
2003-09-28,China,Russia,1,0
2003-09-28,Ghana,Australia,2,1
2003-09-28,North Korea,United States,0,3
2003-09-28,Sweden,Nigeria,3,0
2003-09-27,France,Brazil,1,1
2003-09-27,Canada,Japan,3,1
2003-09-27,Argentina,Germany,1,6
2003-09-27,South Korea,Norway,1,7
2003-09-25,Sweden,North Korea,1,0
2003-09-25,Ghana,Russia,0,3
2003-09-25,United States,Nigeria,5,0
2003-09-25,China,Australia,1,1
2003-09-24,Canada,Argentina,3,0
2003-09-24,France,South Korea,1,0
2003-09-24,Germany,Japan,3,0
2003-09-24,Norway,Brazil,1,4
2003-09-21,China,Ghana,1,0
2003-09-21,Australia,Russia,1,2
2003-09-21,Brazil,South Korea,3,0
2003-09-21,United States,Sweden,3,1
2003-09-20,Japan,Argentina,6,0
2003-09-20,Germany,Canada,4,1
2003-09-20,Nigeria,North Korea,0,3
2003-09-20,Norway,France,2,0
2002-06-30,Germany,Brazil,0,2
2002-06-29,South Korea,Turkey,2,3
2002-06-26,Brazil,Turkey,1,0
2002-06-25,Germany,South Korea,1,0
2002-06-22,Spain,South Korea,0,0
2002-06-22,Senegal,Turkey,0,1
2002-06-21,Germany,United States,1,0
2002-06-21,England,Brazil,1,2
2002-06-18,South Korea,Italy,2,1
2002-06-18,Japan,Turkey,0,1
2002-06-17,Brazil,Belgium,2,0
2002-06-17,Mexico,United States,0,2
2002-06-16,Spain,Republic of Ireland,1,1
2002-06-16,Sweden,Senegal,1,2
2002-06-15,Denmark,England,0,3
2002-06-15,Germany,Paraguay,1,0
2002-06-14,Belgium,Russia,3,2
2002-06-14,Portugal,South Korea,0,1
2002-06-14,Poland,United States,3,1
2002-06-14,Tunisia,Japan,0,2
2002-06-13,Ecuador,Croatia,1,0
2002-06-13,Costa Rica,Brazil,2,5
2002-06-13,Turkey,China,3,0
2002-06-13,Mexico,Italy,1,1
2002-06-12,South Africa,Spain,2,3
2002-06-12,Slovenia,Paraguay,1,3
2002-06-12,Sweden,Argentina,1,1
2002-06-12,Nigeria,England,0,0
2002-06-11,Saudi Arabia,Republic of Ireland,0,3
2002-06-11,Cameroon,Germany,0,2
2002-06-11,Senegal,Uruguay,3,3
2002-06-11,Denmark,France,2,0
2002-06-10,Tunisia,Belgium,1,1
2002-06-10,South Korea,United States,1,1
2002-06-10,Portugal,Poland,4,0
2002-06-09,Japan,Russia,1,0
2002-06-09,Costa Rica,Turkey,1,1
2002-06-09,Mexico,Ecuador,2,1
2002-06-08,Brazil,China,4,0
2002-06-08,Italy,Croatia,1,2
2002-06-08,South Africa,Slovenia,1,0
